type	latitude	longitude	altitude (m)	eos	name	desc
T	22.269223200	114.208170100	400.1			
T	22.269244800	114.208112700	399.9			
T	22.269252600	114.208065700	399.7			
T	22.269266200	114.208041400	399.5			
T	22.269319000	114.208052500	400.1			
T	22.269375900	114.208053900	400.5			
T	22.269437900	114.208019200	400.7			
T	22.269587500	114.207932300	400.8			
T	22.269649100	114.207908200	401.1			
T	22.269722100	114.207843600	401.8			
T	22.269782300	114.207823500	402.3			
T	22.269846800	114.207767500	403.4			
T	22.269935400	114.207617600	406.1			
T	22.270014700	114.207560000	408.3			
T	22.270086000	114.207480800	410.6			
T	22.270265800	114.207232100	422.2			
T	22.270326900	114.207182000	423.6			
T	22.270487300	114.207100600	427.5			
T	22.270559400	114.207003900	431.4			
T	22.270685100	114.206956500	429.5			
T	22.270915300	114.206807600	418.5			
T	22.271193300	114.206775100	416.9			
T	22.271311000	114.206782100	417.9			
T	22.271402500	114.206777100	418.3			
T	22.271443400	114.206779900	417.5			
T	22.271501500	114.206832000	415.2			
T	22.271532500	114.206831600	414.6			
T	22.271585300	114.206801700	414.2			
T	22.271639100	114.206795400	413.2			
T	22.271698400	114.206806300	411.9			
T	22.271797000	114.206833300	409.6			
T	22.271828000	114.206863000	408.6			
T	22.271882100	114.206868600	407.6			
T	22.271930300	114.206848300	406.9			
T	22.271964500	114.206867300	406.5			
T	22.272062600	114.206857000	406.0			
T	22.272099800	114.206864200	405.8			
T	22.272138900	114.206847400	405.5			
T	22.272187100	114.206862200	405.3			
T	22.272270900	114.206847100	404.5			
T	22.272354000	114.206913100	404.3			
T	22.272495000	114.206921700	402.9			
T	22.272596800	114.206888600	399.9			
T	22.273111900	114.206518300	397.7			
T	22.273345900	114.206434600	400.9			
T	22.273564900	114.206402100	396.1			
T	22.273625100	114.206386700	394.6			
T	22.273710200	114.206323500	390.8			
T	22.273832400	114.206229000	386.5			
T	22.273881600	114.206170500	384.9			
T	22.273939200	114.206141400	385.1			
T	22.273968400	114.206138600	385.5			
T	22.274059100	114.206142500	386.6			
T	22.274142400	114.206088100	388.4			
T	22.274236300	114.205974300	388.1			
T	22.274271600	114.205940800	388.0			
T	22.274305300	114.205936000	387.9			
T	22.274391700	114.205907600	388.0			
T	22.274443600	114.205917000	387.8			
T	22.274514100	114.205942600	387.0			
T	22.274677700	114.205974900	385.3			
T	22.274797200	114.205974800	381.0			
T	22.274851800	114.205960600	378.5			
T	22.274908200	114.205953200	375.7			
T	22.275062400	114.205913900	369.0			
T	22.275149800	114.205911200	365.4			
T	22.275196200	114.205980300	362.6			
T	22.275270400	114.206007600	359.4			
T	22.275406400	114.206077200	336.7			
T	22.275448100	114.206109500	329.2			
T	22.275561800	114.206088400	311.2			
T	22.275645100	114.206071100	309.0			
T	22.275711500	114.206039900	307.5			
T	22.275755100	114.205993100	306.8			
T	22.275787900	114.205992000	305.7			
T	22.275853400	114.205998300	305.0			
T	22.275894800	114.206036800	306.3			
T	22.275941000	114.206051200	308.0			
T	22.276097700	114.206074800	314.0			
T	22.276157800	114.206052900	316.4			
