type	latitude	longitude	altitude (m)	eos	name	desc
T	22.261195100	113.970986500	531.8			
T	22.261140400	113.970926500	530.7			
T	22.261131800	113.970849900	532.7			
T	22.261136100	113.970719100	539.9			
T	22.261105000	113.970617800	543.3			
T	22.261063300	113.970552500	543.9			
T	22.260952500	113.970177600	559.6			
T	22.260858800	113.970036800	560.6			
T	22.260636300	113.969793300	563.3			
T	22.260611000	113.969640100	570.1			
T	22.260589400	113.969592400	570.3			
T	22.260553700	113.969529400	570.1			
T	22.260522400	113.969396100	571.9			
T	22.260445200	113.969213300	574.7			
T	22.260352500	113.968925700	574.5			
T	22.260897900	113.968425700	589.5			
T	22.260816900	113.968244200	590.6			
T	22.260719700	113.968180900	591.1			
T	22.260794400	113.968093000	595.2			
T	22.260778200	113.968041300	596.8			
T	22.260884000	113.967854700	605.3			
T	22.260962800	113.967759800	608.7			
T	22.261036500	113.967703000	609.4			
T	22.261152500	113.967538000	609.9			
T	22.261189700	113.967379500	609.8			
T	22.261191800	113.967365100	609.7			
T	22.261225800	113.967129400	610.7			
T	22.261160700	113.966984400	614.7			
T	22.261130100	113.966878900	616.7			
T	22.261222700	113.966672700	614.8			
T	22.261290700	113.966537200	615.7			
T	22.261311800	113.966407500	617.5			
T	22.261302400	113.966284900	622.5			
T	22.261279700	113.966184600	627.6			
T	22.261277500	113.965960100	633.2			
T	22.261317800	113.965777800	633.9			
T	22.261376300	113.965669400	632.1			
T	22.261415900	113.965385500	639.4			
T	22.261125700	113.964731000	653.8			
T	22.261097800	113.964588700	652.0			
T	22.261122300	113.964509700	649.7			
T	22.261136300	113.964393300	647.2			
T	22.261079400	113.964285800	649.1			
T	22.261073400	113.964174400	648.8			
T	22.261096700	113.964102500	648.2			
T	22.261134600	113.963966900	648.0			
T	22.261124900	113.963765500	653.9			
T	22.261087200	113.963646500	660.2			
T	22.261081200	113.963481400	660.2			
T	22.261079600	113.963400700	659.4			
T	22.261037000	113.963332400	661.0			
T	22.260971300	113.963250900	662.3			
T	22.260937500	113.963141200	661.4			
T	22.260945700	113.963094000	659.7			
T	22.260949700	113.963027200	657.9			
T	22.260916900	113.962992300	659.3			
T	22.260840800	113.962931300	662.8			
T	22.260606400	113.962755900	669.1			
T	22.260553600	113.962614000	671.7			
T	22.260394700	113.962401100	677.3			
T	22.260281500	113.962357200	681.3			
T	22.260210100	113.962311400	683.7			
T	22.260233000	113.962190700	681.2			
T	22.260234000	113.962074500	679.0			
T	22.260232900	113.961911000	676.6			
T	22.260262000	113.961810000	674.9			
T	22.260218500	113.961697400	677.6			
T	22.260181500	113.961648800	680.0			
T	22.260120200	113.961620500	683.7			
T	22.259993900	113.961591100	690.4			
T	22.259803400	113.961507500	695.2			
T	22.259745900	113.961451700	696.2			
T	22.259715200	113.961394900	696.3			
T	22.259721700	113.961336000	694.3			
T	22.259720600	113.961286500	692.7			
T	22.259710500	113.961228000	691.1			
T	22.259702800	113.961195900	690.3			
T	22.259638600	113.961165000	691.1			
T	22.259568600	113.961171000	693.2			
T	22.259508600	113.961187900	695.4			
T	22.259461100	113.961177900	696.5			
T	22.259375000	113.961132900	696.5			
T	22.259287600	113.961093000	696.2			
T	22.259197200	113.961023400	695.6			
T	22.259141600	113.960937300	695.2			
T	22.259090600	113.960883300	696.0			
T	22.259038100	113.960858700	697.3			
T	22.258971100	113.960798400	698.3			
T	22.258868500	113.960739900	700.9			
T	22.258796900	113.960714500	702.5			
T	22.258727000	113.960709400	704.4			
T	22.258619700	113.960665000	706.7			
T	22.258577500	113.960619400	706.5			
T	22.258541900	113.960535900	706.2			
T	22.258501200	113.960487400	707.8			
T	22.258461000	113.960419900	709.8			
T	22.258458300	113.960238100	713.5			
T	22.258443900	113.960128500	714.5			
T	22.258434800	113.960019800	715.4			
T	22.258380600	113.959937900	717.0			
T	22.258265900	113.959719000	720.0			
T	22.258217600	113.959528600	722.1			
T	22.258237000	113.959395300	723.7			
T	22.258262400	113.959214200	726.3			
T	22.258304500	113.959078200	726.4			
T	22.258233300	113.958745200	727.2			
T	22.258221300	113.958688800	728.0			
T	22.258143100	113.958505900	733.0			
T	22.258114800	113.958355800	738.9			
T	22.258049500	113.958145200	743.2			
T	22.257968600	113.957951100	746.8			
T	22.257948600	113.957922000	747.6			
T	22.257936800	113.957879400	749.0			
T	22.257867400	113.957725900	753.8			
T	22.257743700	113.957542300	756.1			
T	22.257614000	113.957417900	755.3			
T	22.257463300	113.957131500	759.4			
T	22.257385100	113.957068600	762.7			
T	22.257218800	113.957048600	765.9			
T	22.257102800	113.957075900	766.5			
T	22.257005000	113.957178100	763.9			
T	22.256949300	113.957285200	762.0			
T	22.256902000	113.957343300	761.8			
T	22.256846900	113.957373400	762.0			
T	22.256807700	113.957393400	762.2			
T	22.256770200	113.957508400	760.7			
T	22.256732700	113.957541800	760.3			
T	22.256677600	113.957533200	761.2			
T	22.256639800	113.957478500	762.7			
T	22.256541600	113.957113800	773.4			
T	22.256491400	113.957026200	778.2			
T	22.256417800	113.956979500	781.8			
T	22.256305300	113.956882100	786.1			
T	22.256241200	113.956810500	788.6			
T	22.256158100	113.956730900	791.6			
T	22.256002100	113.956632700	793.1			
T	22.255865300	113.956475400	796.8			
T	22.255735500	113.956393200	795.2			
T	22.255592000	113.956179200	795.9			
T	22.255508100	113.956121200	794.6			
T	22.255366400	113.955946200	792.2			
T	22.255100700	113.955744400	788.7			
T	22.255055500	113.955679900	789.2			
T	22.255064300	113.955525900	792.6			
T	22.255041900	113.955465100	792.4			
T	22.254860900	113.955131600	785.7			
T	22.254758100	113.954845700	782.7			
T	22.254702100	113.954797700	781.0			
T	22.254564100	113.954647300	778.1			
T	22.254499300	113.954513100	776.1			
T	22.254490100	113.953924700	777.2			
T	22.254429000	113.953789800	771.8			
T	22.254489800	113.953517400	768.5			
T	22.254463500	113.953349400	762.8			
