type	latitude	longitude	altitude (m)	eos	name	desc
T	22.379525300	114.379782400	131.4			
T	22.379578000	114.379661100	134.7			
T	22.379957700	114.379650500	153.0			
T	22.380244400	114.379691900	158.6			
T	22.380260900	114.379605600	158.7			
T	22.380586200	114.379597700	162.0			
T	22.380911600	114.379429500	176.5			
T	22.380976100	114.379530300	176.9			
T	22.381380900	114.379405800	187.8			
T	22.381577200	114.379352500	188.6			
T	22.381762000	114.379119900	196.7			
T	22.381871900	114.378751400	199.5			
T	22.382230400	114.378747000	211.3			
T	22.382549400	114.378451200	229.4			
T	22.382606400	114.378375400	231.7			
T	22.382749100	114.378185600	238.3			
T	22.383144600	114.378142700	243.3			
T	22.383393900	114.378226200	245.5			
T	22.383779500	114.378236700	252.9			
T	22.383885500	114.378241000	254.3			
T	22.383926900	114.378242700	254.7			
T	22.383968500	114.378244400	255.2			
T	22.384136700	114.378129400	257.4			
T	22.384455000	114.378004600	263.7			
T	22.384491400	114.377990300	265.0			
T	22.384831100	114.378107900	276.4			
T	22.385188200	114.378022100	281.2			
T	22.385545400	114.378236700	292.3			
T	22.385783500	114.378129400	294.5			
T	22.386482900	114.378006800	302.1			
T	22.386812100	114.377823300	307.1			
T	22.387231800	114.377678800	310.3			
T	22.387668300	114.377421300	302.0			
T	22.388184200	114.377206700	301.8			
T	22.388442100	114.377056500	295.4			
T	22.388977800	114.377013600	286.4			
T	22.388997600	114.376777500	284.2			
T	22.388977800	114.376391300	273.1			
T	22.389156300	114.376005100	260.9			
T	22.389453900	114.375983600	259.2			
T	22.389545200	114.375866900	252.2			
T	22.389742200	114.375709700	238.5			
T	22.389347800	114.375365200	233.0			
T	22.389505300	114.375180800	225.5			
T	22.389704400	114.375209000	225.4			
T	22.389935200	114.374927200	212.9			
T	22.390148900	114.374729600	205.1			
T	22.390153600	114.374459600	201.7			
T	22.390180100	114.374005800	202.1			
T	22.389830900	114.373859300	199.9			
T	22.389712200	114.373579800	205.4			
T	22.389756800	114.373016500	208.3			
T	22.389374600	114.372743500	202.4			
T	22.389360600	114.372320700	197.4			
T	22.389140800	114.372237000	196.1			
T	22.388799300	114.372219700	193.7			
T	22.388663700	114.371977400	190.9			
T	22.388356900	114.371900300	190.0			
T	22.388005600	114.371434600	183.3			
T	22.387807200	114.371177100	182.4			
T	22.387707300	114.371050700	183.4			
T	22.387608800	114.370855200	186.0			
T	22.387410400	114.370747900	185.3			
T	22.387251700	114.370361700	186.1			
T	22.387430200	114.370018400	192.4			
T	22.387350900	114.369546300	186.3			
T	22.387271500	114.369160100	180.1			
T	22.387271500	114.368709500	174.7			
T	22.387258800	114.368287300	167.8			
T	22.387110100	114.368164800	166.2			
T	22.387112800	114.367979900	162.7			
T	22.387410400	114.367834400	157.4			
T	22.387594300	114.367580500	148.1			
T	22.387943200	114.367258200	137.1			
T	22.388166700	114.367316000	132.9			
T	22.388241300	114.367228700	131.9			
T	22.388221800	114.366870100	137.9			
T	22.388407300	114.366768900	142.0			
T	22.388551000	114.366668200	146.3			
T	22.388891700	114.366678700	147.4			
T	22.389056800	114.366564100	147.8			
T	22.389322700	114.366444600	145.9			
T	22.389568100	114.366444100	139.8			
T	22.389811000	114.366306200	133.0			
T	22.389917300	114.366381500	128.5			
T	22.389979100	114.366450000	124.8			
T	22.390049700	114.366475000	121.4			
T	22.390148900	114.366183900	116.7			
T	22.390271800	114.366196000	111.2			
T	22.390453900	114.366148000	104.1			
T	22.390539800	114.366180100	101.3			
T	22.390613200	114.366079000	98.3			
T	22.390677600	114.366087200	96.8			
T	22.390638500	114.365900100	96.5			
T	22.390649800	114.365860400	96.1			
T	22.390694300	114.365792600	95.0			
T	22.390748100	114.365697900	93.1			
T	22.390813100	114.365581200	90.7			
T	22.390901400	114.365556600	90.3			
T	22.390984000	114.365603300	90.6			
T	22.391030300	114.365613200	90.5			
T	22.391042900	114.365677600	90.2			
T	22.391054100	114.365740100	89.8			
T	22.391078500	114.365816100	88.8			
T	22.391268600	114.365968900	83.2			
T	22.391324900	114.366068100	79.7			
T	22.391292600	114.366247800	75.7			
T	22.391312500	114.366429600	69.7			
T	22.391413400	114.366350100	69.0			
T	22.391440600	114.366535500	62.7			
T	22.391466000	114.366750900	55.0			
T	22.391497900	114.366895400	49.4			
T	22.391590400	114.367040500	44.7			
T	22.391689200	114.367341300	36.9			
T	22.391769700	114.367503400	34.6			
T	22.391840700	114.367650900	30.6			
T	22.391908600	114.367736900	27.6			
T	22.391960900	114.367906700	23.3			
T	22.392015100	114.368073700	20.3			
T	22.392066900	114.368171200	20.4			
T	22.392121200	114.368235900	19.9			
T	22.392209900	114.368268900	18.8			
T	22.392343800	114.368282900	19.6			
T	22.392465800	114.368337200	19.7			
T	22.392527400	114.368444900	18.7			
T	22.392616100	114.368627400	17.1			
T	22.392657800	114.368946300	13.8			
T	22.392724900	114.369077400	12.7			
T	22.392811900	114.369169200	11.1			
T	22.392911800	114.369246800	11.2			
T	22.393059000	114.369272800	10.9			
T	22.393188400	114.369298900	11.8			
T	22.393422000	114.369394000	10.7			
T	22.393525700	114.369460500	8.7			
T	22.393674000	114.369505100	8.3			
T	22.393785500	114.369626500	6.6			
T	22.393937000	114.369700200	5.7			
T	22.394132700	114.369853300	4.1			
T	22.394200700	114.369898400	3.6			
T	22.394287300	114.369955800	2.8			
T	22.394473700	114.369897300	4.5			
T	22.394659900	114.369841400	7.3			
T	22.394761400	114.369807500	8.7			
T	22.394961200	114.369839200	9.6			
T	22.395053300	114.369860800	9.9			
T	22.395224200	114.369873700	10.9			
T	22.395344200	114.369931200	10.7			
T	22.395455200	114.370014600	10.2			
T	22.395516400	114.370070400	10.2			
T	22.395616200	114.370106200	11.0			
T	22.395673400	114.370152000	11.4			
T	22.395796200	114.370224200	12.2			
T	22.395923100	114.370295500	11.8			
T	22.396062700	114.370340900	11.1			
T	22.396184200	114.370400200	9.6			
T	22.396301300	114.370450700	7.9			
T	22.396407300	114.370502300	6.6			
T	22.396484200	114.370503600	6.5			
T	22.396564400	114.370509200	6.4			
T	22.396655500	114.370549900	6.0			
T	22.396735200	114.370647200	6.0			
